Cuenta,Subcuenta,Objeto,Ordinal,"APORTE 
NACIONAL",RECURSOS PROPIOS,TOTAL,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,,2699000000.0,2699000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,,537000000.0,537000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,1.0,1.0,3.0,
Gastos de personal,Planta de personal permanente,Otros gastos de personal - previo concepto dgppn,,,364000000.0,364000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,1.0,1.0,4.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,,855000000.0,855000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,,7284000000.0,7284000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,2.0,2.0,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,,120000000.0,120000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,3.0,3.0,1.0,999.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,,310000000.0,310000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,3.0,10.0,1.0,1.0
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,,128000000.0,128000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,,50000000.0,50000000.0,1516,Funcionamiento,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,8.0,4.0,1.0,
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,Actualización del sistema de información de sanidad policial a nivel  nacional,,,2154000000.0,2154000000.0,1516,Inversión,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,1599.0,100.0,1.0,
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,"Optimización de los procesos de control, inspección y vigilancia fortaleciéndola con los sistemas de información de la superintendencia de vigilancia y seguridad privada.   bogotá",,,9346000000.0,9346000000.0,1516,Inversión,Superintendencia de vigilancia y seguridad privada,15,Defensa y policía,,,1599.0,100.0,2.0,
Gastos de personal,Planta de personal permanente,Salario,,,46296185000.0,46296185000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,,14571392000.0,14571392000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,,1071159000.0,1071159000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,1.0,1.0,3.0,
Gastos de personal,Planta de personal permanente,Otros gastos de personal - previo concepto dgppn,,,3019746000.0,3019746000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,1.0,1.0,4.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,,825650910.0,825650910.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,,11150451091.0,11150451091.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,2.0,2.0,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,,2965262000.0,2965262000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,3.0,3.0,1.0,999.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales (de pensiones),20086519000.0,,20086519000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,3.0,4.0,2.0,1.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),,4947873000.0,4947873000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,3.0,4.0,2.0,4.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,,2000000000.0,2000000000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,3.0,10.0,1.0,1.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,,1150000000.0,1150000000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,3.0,10.0,1.0,2.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Materiales y suministros,"Minerales; electricidad, gas y agua",,1415993000.0,1415993000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,5.0,1.0,1.0,1.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Materiales y suministros,"Otros bienes transportables (excepto productos metálicos, maquinaria y equipo)",,77989921000.0,77989921000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,5.0,1.0,1.0,3.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Materiales y suministros,"Productos metálicos, maquinaria y equipo",,69719733000.0,69719733000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,5.0,1.0,1.0,4.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Adquisición de servicios,"Servicios de venta y de distribución; alojamiento; servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",,6070536000.0,6070536000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,5.0,1.0,2.0,6.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Adquisición de servicios,"Servicios financieros y servicios conexos, servicios inmobiliarios y servicios de leasing",,14557312000.0,14557312000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,5.0,1.0,2.0,7.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Adquisición de servicios,Servicios prestados a las empresas y servicios de producción,,13242100000.0,13242100000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,5.0,1.0,2.0,8.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Adquisición de servicios,"Servicios para la comunidad, sociales y personales",,105240676000.0,105240676000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,5.0,1.0,2.0,9.0
Disminución de pasivos,Cesantías,,,,5460000000.0,5460000000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,7.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,,2000000.0,2000000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,8.0,3.0,,
"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,,48503000.0,48503000.0,1519,Funcionamiento,Hospital militar,15,Defensa y policía,,,8.0,5.0,,
Generación de bienestar para la fuerza pública y sus familias,Intersubsectorial defensa y seguridad,Ampliación de la capacidad de la infraestructura y dotación del hospital militar central   bogotá,,,19210000000.0,19210000000.0,1519,Inversión,Hospital militar,15,Defensa y policía,,,1505.0,100.0,6.0,
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,Actualización del sistema de información de sanidad policial a nivel  nacional,,,6460000000.0,6460000000.0,1519,Inversión,Hospital militar,15,Defensa y policía,,,1599.0,100.0,1.0,
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,Mejoramiento del sistema de gestión documental del hospital militar central  bogotá,,,2500000000.0,2500000000.0,1519,Inversión,Hospital militar,15,Defensa y policía,,,1599.0,100.0,3.0,
Gastos de personal,Planta de personal permanente,Salario,,,31514000000.0,31514000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,,11083000000.0,11083000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,,574000000.0,574000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,1.0,1.0,3.0,
Gastos de personal,Planta de personal permanente,Otros gastos de personal - previo concepto dgppn,,,1425000000.0,1425000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,1.0,1.0,4.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,,931000000.0,931000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,,12919000000.0,12919000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,2.0,2.0,,
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales (de pensiones),,1521000000.0,1521000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,3.0,4.0,2.0,1.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Cuotas partes pensionales (de pensiones),,58000000.0,58000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,3.0,4.0,2.0,2.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),,2646000000.0,2646000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,3.0,4.0,2.0,4.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,,2000000000.0,2000000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,3.0,10.0,1.0,1.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,,1100000000.0,1100000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,3.0,10.0,1.0,2.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Materiales y suministros,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",,315467024085.0,315467024085.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,5.0,1.0,1.0,2.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Materiales y suministros,"Otros bienes transportables (excepto productos metálicos, maquinaria y equipo)",,130798000000.0,130798000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,5.0,1.0,1.0,3.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Materiales y suministros,"Productos metálicos, maquinaria y equipo",,4201000000.0,4201000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,5.0,1.0,1.0,4.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Adquisición de servicios,"Servicios de venta y de distribución; alojamiento; servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",,3419000000.0,3419000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,5.0,1.0,2.0,6.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Adquisición de servicios,"Servicios financieros y servicios conexos, servicios inmobiliarios y servicios de leasing",,15028000000.0,15028000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,5.0,1.0,2.0,7.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Adquisición de servicios,Servicios prestados a las empresas y servicios de producción,,3504000000.0,3504000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,5.0,1.0,2.0,8.0
Gastos de comercialización y producción,Gastos de comercialización y producción,Adquisición de servicios,"Servicios para la comunidad, sociales y personales",,18460000000.0,18460000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,5.0,1.0,2.0,9.0
Disminución de pasivos,Cesantías,,,,610000000.0,610000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,7.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,,418000000.0,418000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,,1856000000.0,1856000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,8.0,4.0,1.0,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,,7000000.0,7000000.0,1520,Funcionamiento,Agencia logística de las fuerzas militares,15,Defensa y policía,,,8.0,4.0,3.0,
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,Actualización del sistema de información de sanidad policial a nivel  nacional,,,5350000000.0,5350000000.0,1520,Inversión,Agencia logística de las fuerzas militares,15,Defensa y policía,,,1599.0,100.0,1.0,
Gastos de personal,Planta de personal permanente,Salario,,5228578000000.0,,5228578000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,1033488000000.0,,1033488000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,274534000000.0,,274534000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,1.0,3.0,
Gastos de personal,Planta de personal permanente,Otros gastos de personal - previo concepto dgppn,,96098000000.0,,96098000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,1.0,4.0,
Gastos de personal,Personal supernumerario y planta temporal,Salario,,7010000000.0,,7010000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,2.0,1.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,63063000000.0,,63063000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,969701000000.0,,969701000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,2.0,2.0,,
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Organizacion internacional de policia criminal. interpol. (d.l.3169 de 1968 y d.l. 1717 de 1960),283000000.0,,283000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,2.0,2.0,113.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Programa de proteccion a personas que se encuentran en situacion de riesgo contra su vida, integridad, seguridad o libertad, por causas relacionadas con la violencia en colombia",17809000000.0,,17809000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,3.0,1.0,9.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,70576000000.0,,70576000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,3.0,1.0,999.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales (de pensiones),737400000000.0,,737400000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,4.0,2.0,1.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Cuotas partes pensionales (de pensiones),3341000000.0,,3341000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,4.0,2.0,2.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),4055000000.0,,4055000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,4.0,2.0,4.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Aporte prevision social servicios medicos (no de pensiones),53725000000.0,,53725000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,4.0,2.0,15.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Prestaciones sociales (no de pensiones),92709000000.0,,92709000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,4.0,2.0,23.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,106873000000.0,,106873000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,10.0,1.0,1.0
Disminución de pasivos,Cesantías,,,62698000000.0,,62698000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,7.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,8403000000.0,,8403000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,12283000000.0,,12283000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,8.0,4.0,1.0,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,88000000.0,,88000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,8.0,4.0,3.0,
Gastos de personal,Planta de personal permanente,Salario,,44854000000.0,,44854000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,15957000000.0,,15957000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,5233000000.0,,5233000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,1.0,3.0,
Gastos de personal,Planta de personal permanente,Otros gastos de personal - previo concepto dgppn,,2178000000.0,,2178000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,1.0,1.0,4.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,17164000000.0,,17164000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,710551000000.0,,710551000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,2.0,2.0,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,161979000000.0,,161979000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,3.0,1.0,999.0
Transferencias corrientes,Prestaciones sociales,Prestaciones de asistencia social,Fondo solidaridad en salud ley 1122 de 2007 (no de pensiones),95925000000.0,,95925000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,4.0,1.0,10.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,5000000000.0,,5000000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,10.0,1.0,1.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,1150000000.0,,1150000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,3.0,10.0,1.0,2.0
Disminución de pasivos,Cesantías,,,428000000.0,,428000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,7.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,520000000.0,,520000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,80000000.0,,80000000.0,1601,Funcionamiento,Policía nacional,15,Defensa y policía,,,8.0,4.0,3.0,
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Fortalecimiento de la infraestructura estratégica operacional orientada a consolidar la convivencia y seguridad ciudadana a nivel  nacional,,121182000000.0,,121182000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1501.0,100.0,17.0,
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,"Fortalecimiento de los equipos de armamento, seguridad y protección, orientados a consolidar la convivencia y seguridad ciudadana en el territorio   nacional",,16000000000.0,,16000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1501.0,100.0,18.0,
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,"Mejoramiento de la movilidad estratégica, orientada al servicio de policía en el territorio  nacional",,23760800000.0,,23760800000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1501.0,100.0,19.0,
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Fortalecimiento de las misiones aéreas policiales en el territorio  nacional,,15000000000.0,,15000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1501.0,100.0,20.0,
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Fortalecimiento de la infraestructura educativa y administrativa de la policía   nacional,,20000000000.0,,20000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1501.0,100.0,21.0,
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Desarrollo tecnológico policia  nacional,,13000000000.0,,13000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1501.0,100.0,22.0,
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Fortalecimiento  de la infraestructura de soporte para el bienestar de social de los funcionarios de la policía   nacional,,15000000000.0,,15000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1501.0,100.0,23.0,
Generación de bienestar para la fuerza pública y sus familias,Intersubsectorial defensa y seguridad,Mejoramiento de la movilidad para la prestación del servicio de sanidad policial  nacional,,10000000000.0,,10000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1505.0,100.0,5.0,
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,Actualización del sistema de información de sanidad policial a nivel  nacional,,1150000000.0,,1150000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1599.0,100.0,1.0,
Generación de bienestar para la fuerza pública y sus familias,Intersubsectorial defensa y seguridad,Fortalecimiento de las instalaciones de salud de la policía   nacional,,7000000000.0,,7000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1505.0,100.0,3.0,
Generación de bienestar para la fuerza pública y sus familias,Intersubsectorial defensa y seguridad,Mejoramiento de la movilidad para la prestación del servicio de sanidad policial  nacional,,2000000000.0,,2000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1505.0,100.0,5.0,
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,Actualización del sistema de información de sanidad policial a nivel  nacional,,4000000000.0,,4000000000.0,1601,Inversión,Policía nacional,15,Defensa y policía,,,1599.0,100.0,1.0,
Gastos de personal,Planta de personal permanente,Salario,,13833556000.0,,13833556000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,4997427000.0,,4997427000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2551225000.0,,2551225000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,7440028874.0,,7440028874.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,2.0,2.0,,
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Organizacion para la cooperacion y el desarrollo economico ocde-articulo 47 ley 1450 de 2011,191000000.0,,191000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,2.0,2.0,105.0
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,"Contribucion a la comision interamericana del atun tropical - ciat, ley 579/2000",4315000000.0,,4315000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,2.0,2.0,135.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de fomento agropecuario decreto ley  1279 de 1994,399000000.0,,399000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,3.0,1.0,20.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Desarrollo de funciones de apoyo al sector agropecuario en ciencia, tecnologia e innovacion a cargo de corpoica a nivel nacional. ley 1731 de 2014",220000000000.0,,220000000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,3.0,1.0,67.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),400000000.0,,400000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,4.0,2.0,4.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Obligaciones convencionales pensionados del idema (de pensiones),97000000.0,,97000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,4.0,2.0,9.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),137767000.0,,137767000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,4.0,2.0,12.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales del idema (de pensiones),46169677000.0,,46169677000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,4.0,2.0,80.0
Transferencias corrientes,A instituciones sin ánimo de lucro que sirven a los hogares,A instituciones sin ánimo de lucro que sirven a los hogares,Fortalecimiento de las asociaciones y ligas de consumidores (ley 73 de 1981 y decreto 1320 de 1982),701000000.0,,701000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,6.0,1.0,1.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,12400000000.0,,12400000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,10.0,1.0,1.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,3000000000.0,,3000000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,10.0,1.0,2.0
Transferencias corrientes,A empresas,"Agricultura, ganadería, caza, silvicultura y pesca",Transferencias al sector agricola y sector industrial para apoyo a la produccion - articulo 1 ley 16/90 y articulo 1 ley 101/93; ley 795/03,7812891000.0,,7812891000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17,Agricultura y desarrollo rural,,,3.0,11.0,2.0,1.0
